,Sr no,Star_name,Distance_of_Star,Mass_of_Star,Radius_of_Star,Dwarf_name,Distance_of_Dwarf,Mass_of_Dwarf,Radius_of_Dwarf
0,0,Sun,0.000015813,1,1,,,,
1,1,Sirius,8.6,2.1,1.71´,LHS 102BC,,,
2,2,Canopus,310,15,71,,,,
3,3,Alpha Centauri,4.4,1.1,1.2,2MASS J00034227-2822410,,,
4,4,Arcturus,37,1.1,26,,,,
5,5,Vega,25,2.2,2.7,2MASS J02511327+0047364,,,
6,6,Capella,43,2.6,12,,,,
7,7,Rigel,860,23,78.9,TWA 27A,,,
8,8,Procyon,11.4,1.5,1.9,,,,
9,9,Betelgeuse,0640[1],20,950,TWA 27B,,,
10,10,Achernar,144,6.7,9.3,,,,
11,11,Hadar,390,10.5,8.6,2MASS J14112131-2119503,,,
12,12,Altair,17,1.8,1.8,,,,
13,13,Acrux,320,18,8.9,2MASS J02103857-3015313,101.0,15,1.53
14,14,Aldebaran,65,1.5,44,,,,
15,15,Antares,600,12,680,2MASS J13204427+0409045,101.0,67,1.01
16,16,Spica,260,11.43,7.47,,,,
17,17,Pollux,34,1.9,8.8,WISE 0038+8405,101.8,,
18,18,Fomalhaut,25,1.9,1.8,,,,
19,19,Deneb,"2,600",19,203,2MASS J06085283-2753583,102.0,38,1.51
20,20,Mimosa,350,16,8.4,,,,
21,21,Regulus,77,3.8,3.1,WISE 1147-2040,102.0,,
22,22,Adhara,430,12.5,14,,,,
23,23,Shaula,700,14.5,8.8,CFBDSIR 1458+10A,104.0,11.1,1.5
24,24,Castor,52,2.8,2.4,,,,
25,25,Gacrux,88,1.5,84,CFBDSIR 1458+10B,104.0,9,1.3
26,26,Bellatrix,240,8.6,5.8,,,,
27,27,Elnath,130,5,4.2,2MASS J20004841-7523070,105.0,25,1.88
28,28,Miaplacidus,110,3.5,6.8,,,,
29,29,Alnilam,"2,000",32,42,WISE 0316+4307,106.3,,
30,30,Gamma Velorum,"1,100",9,6,,,,
31,31,Alnair,101,4,3.4,WISE 1830+4542,107.0,,
32,32,Alioth,81,2.9,4.2,,,,
33,33,Alnitak,1050,33,20,2MASSI J1017075+130839 [de],108.0,,
34,34,Dubhe,120,4.25,30,,,,
35,35,Mirfak,590,8.5,68,2MASSW J2101154+175658,108.0,,
36,36,Wezen,"1,600",17,200,,,,
37,37,Sargas,270,5.7,26,WISE 1506+7027,11.1,,
38,38,Kaus Australis,140,3.5,6.8,,,,
39,39,Avior,630,9,130,2MASS J16262034+3925190 [de],110.0,71,1.03
40,40,Alkaid,104,6.1,3.4,,,,
41,41,Menkalinan,81,2.39,2.77,SDSS J020742.48+000056.2 [de],111.0,47,0.97
42,42,Atria,390,7,92,,,,
